"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de muebles","Fabricas diversas","Industria del papel","Fabricación de material de construcción","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de maquinaria","Fabricación de equipo electrónico y eléctrico","Minería Metálicos"
"039","MINERAL DEL MONTE",2.23073656030223,1.33305857178217,3.97655276604138,1.64872290819558,11.0368826645202,8.02996198845636,65.8175561553679,6.18022345214715,4.31863688896219,18.9388708019456,2.23612111471311,0.313199312523267,4.06239490006001,NA,4.21709987960547,0.723490304765812,0.0928527350921698,15.6490256157951,1.19689476080417,0.181280425285751,7.67679673375113,1.03360028577746,1.28028089653406,6.6949188133951,0.0977446486287111,0.0279286455257953,NA,NA,NA,NA,NA,NA,NA,NA,17.7335092317333
"040","LA MISIÓN",9.04742654578352,93.6422738104941,NA,NA,5.79206749919836,6.21178715642338,7.66857218653377,3.05018769965033,0.72359118125878,3.56775399378651,NA,5.08109800981654,5.6789871383885,NA,4.54451151306688,NA,NA,NA,1.80486636054918,4.59523482385965,7.56617206440671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"041","MIXQUIAHUALA DE JUÁREZ",5.75223734502446,1.14404979532199,2.67701131911464,4.07423727830399,3.09434137264543,1.44822581154241,0.520278504812191,3.52850430351941,4.59387487492118,3.07143409848661,5.99907343489857,1.67468949650815,3.93481973197564,NA,1.44287315020295,3.23424495711732,0.250645699885968,25.9014887643347,1.35503175422105,0.207757593175978,3.09338182701997,2.45298518151714,1.2895964001976,0.119886790812756,1.6175815213507,0.338082421215262,NA,NA,0.0506951799781866,1978.54962512639,1.74032882902948,0.00539601558759624,0.0729526085196661,5.11815366580424,NA
"042","MOLANGO DE ESCAMILLA",1.48277959023954,13.2263409238327,0.946938195389072,22.9023402922184,0.94925992818407,5.96462129458793,1.25679962881491,1.99957680542828,2.96472767647909,2.33887184525315,3.99771042750583,0.532953206923059,2.70449142853424,NA,1.07250971251571,0.942577571192574,1.75557937993994,NA,0.484636950801474,0.481991319830681,2.57129989071971,NA,2.60621162169968,NA,NA,NA,NA,716.817769752848,NA,NA,NA,NA,NA,NA,NA
"043","NICOLÁS FLORES",24.7492608861011,40.8394074916585,NA,7.30322239047629,3.96105425344333,0.671008351034089,5.24435022235339,8.34379707292613,0.123711607585541,3.95223516968232,NA,NA,1.78954200900187,3.58000759747394,0.776970255489389,2.00671950913692,0.124200594300841,85.5010643993219,1.23430425756253,3.1425694619649,15.206168619866,NA,1.38713668403627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"044","NOPALA DE VILLAGRÁN",0.57166372776908,8.31390561626316,NA,0.645746832232111,3.29375805727042,1.6104865646334,1.09021612017865,2.14140901706971,0.28575172036904,0.901717427615497,NA,5.39685632837108,1.48806808335177,22.2407817167029,1.94110699701033,248.363195129131,0.103277229247883,NA,245.525487933137,0.290350969536875,0.478070322582148,58.632299774932,1.15345368612615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"045","OMITLÁN DE JUÁREZ",16.9031229117019,23.4981857432525,1.64393346472301,3.92395396939231,36.6362609746978,3.55989130953303,5.15773345329822,6.48374455382666,0.486673444718123,7.51514042096523,6.09981252794709,0.379716480710681,4.82230228045153,NA,3.05655061851073,0.219286235129877,NA,NA,36.2772720262476,NA,6.6466757356331,NA,0.606322866086416,1.03530401719166,2.9625906333079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"046","SAN FELIPE ORIZATLÁN",11.0403109144077,3.20224308576954,1.67771665884895,7.78984576983486,0.480990702193481,6.38098302052596,0.283031686302595,1.95445029828895,6.66696212660259,6.67196260641399,0.523013233897632,6.09295305966489,5.83921117974203,0.852051627082211,36.9879842594266,1.14392293428831,2.05278347836468,NA,2.56064267100784,4.41132048284086,18.9737121926145,0.0143814363283782,76.6589005320334,0.127828172988856,0.0914471840351077,1.67227306535023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"047","PACULA",13.9204806799557,68.5641859726508,250.1785528155,1.98788298783668,2.22793640024538,0.62837155672091,NA,0.521450660624092,0.278331551185499,1.13417143588277,NA,NA,0.958045566042466,NA,15.7325417226708,1.12870037960278,NA,NA,28.4363711017506,7.07028426942129,2.13821715184904,NA,3.12083815342199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"048","PACHUCA DE SOTO",2.41078443027338,5.65765287282065,6.38591042384475,7.87482294525548,7.56266089706927,7.51898239316934,1.93136957255907,4.13303147824219,4.40406405503622,6.16784557964082,6.4118759014837,13.9444649729935,3.91941531778032,NA,0.689839295793768,0.711126345843129,1.01213541857354,0.0272693085872895,1.28200536768827,46.4822183692581,1.62668093858912,43.0384501937675,1.06015533286758,0.238066908633954,2.58074752511925,0.139149058840613,NA,2.86969584931322,0.0802100680978654,0.0460537111598411,89.0874769128817,0.00511612095120614,0.320378348798244,0.0573330800759948,1.57797701983709
