"CVE_MUN","Municipio","Región","diversidad_2015","especializado_2015","diversidad_2016A","especializado_2016A","diversidad_2016B","especializado_2016B","diversidad_2017A","especializado_2017A","diversidad_2017B","especializado_2017B","diversidad_2018A","especializado_2018A","diversidad_2018B","especializado_2018B","diversidad_2019A","especializado_2019A","diversidad_2019B","especializado_2019B","diversidad_2020A","especializado_2020A","diversidad_2020B","especializado_2020B","diversidad_2021A","especializado_2021A","diversidad_2021B","especializado_2021B","diversidad_2022A","especializado_2022A","diversidad_2022B","especializado_2022B","diversidad_2023B","especializado_2023B","diversidad_2024A","especializado_2024A","diversidad_2024B","especializado_2024B"
"011","Atlapexco","Región Huejutla",18,25.1111111111111,17,27.6470588235294,17,28,17,28.2352941176471,17,28.5882352941176,16,27.5,17,30.5294117647059,16,31.0625,14,28.2857142857143,14,30.8571428571429,16,29.4375,15,29.8666666666667,16,31.4375,16,31.4375,14,33.7142857142857,15,32.6666666666667,15,32.9333333333333,19,32.9473684210526
"012","Atotonilco el Grande","Región Zacualtipán",20,30.85,23,28,23,28.3478260869565,23,28.2173913043478,23,28.695652173913,21,28.8095238095238,23,30.0869565217391,23,29.8695652173913,23,28.6521739130435,23,27.7391304347826,24,28.6666666666667,25,29.92,24,29.5833333333333,24,29.5416666666667,25,28.88,24,28.7916666666667,23,29.5217391304348,27,30.7777777777778
"013","Atotonilco de Tula","Región Tula",22,20.7272727272727,21,22.047619047619,19,23.2631578947368,21,22.7619047619048,19,24.5789473684211,17,23.7058823529412,19,24.8947368421053,18,24.8888888888889,19,18.9473684210526,19,19.5263157894737,21,16.7142857142857,21,16.8571428571429,20,17.3,20,16.95,20,16.95,21,18.1428571428571,22,15.3181818181818,22,20.5909090909091
"014","Calnali","Región Huejutla",21,33.6190476190476,19,34.3157894736842,19,34.3157894736842,20,34.65,20,35.3,19,34.9473684210526,20,35.5,20,35.25,19,33.5263157894737,19,33.4210526315789,19,33.1052631578947,19,33.0526315789474,19,33.2105263157895,19,33.1578947368421,18,33.7777777777778,18,33.5,18,33.4444444444444,20,36.35
"015","Cardonal","Región Ixmiquilpan",12,29,13,31,13,31.0769230769231,13,31.7692307692308,13,31.9230769230769,12,31.3333333333333,13,32.0769230769231,13,31.8461538461538,10,30.4,10,29.8,10,30,10,29.9,10,29.8,10,29.8,10,29.6,11,29.2727272727273,10,28.8,10,30.6
"016","Cuautepec de Hinojosa","Región Tulancingo",21,25.952380952381,22,25.8181818181818,23,27,21,25.5238095238095,23,27.5217391304348,21,27.5714285714286,22,27.9090909090909,21,26.1904761904762,19,27,18,25.9444444444444,20,27.1,20,27.2,20,27.25,21,26.5238095238095,20,27,21,26.5238095238095,20,26.8,19,28.7368421052632
"017","Chapantongo","Región Huichapan",22,31.2727272727273,22,31.3181818181818,22,31.1818181818182,21,32.7142857142857,20,33.95,21,31.3809523809524,21,33.2380952380952,21,32.8571428571429,17,32.1176470588235,18,32.6666666666667,18,32.8333333333333,18,33,18,32.9444444444444,18,32.9444444444444,18,32.8333333333333,18,32.2222222222222,18,31.7222222222222,27,30.4444444444444
"018","Chapulhuacán","Región Jacala",19,32.3157894736842,19,33.1578947368421,19,33.2631578947368,19,30.9473684210526,19,31.3684210526316,18,30.7777777777778,18,32.3333333333333,18,32.2222222222222,16,32.625,17,33.5294117647059,17,31.8823529411765,18,32.1111111111111,18,32.1111111111111,17,31.8235294117647,18,32.2777777777778,18,31.5555555555556,18,31.5,16,34.125
"019","Chilcuautla","Región Ixmiquilpan",12,32.6666666666667,11,35.3636363636364,11,35.6363636363636,12,35.5833333333333,11,36.4545454545455,10,36,11,37,12,35.5833333333333,13,33.4615384615385,14,31.9285714285714,11,35,11,35.0909090909091,11,35,11,35,11,34.6363636363636,12,32.4166666666667,10,33.8,13,37.5384615384615
"020","Eloxochitlán","Región Zacualtipán",8,29.375,8,34.875,8,35.125,8,35,8,35.375,10,33.7,8,35.75,9,33.8888888888889,7,34.7142857142857,7,36,6,41.5,6,41.5,6,41.1666666666667,6,41.1666666666667,6,41,6,40.1666666666667,6,39.5,13,40.0769230769231
"021","Emiliano Zapata","Región Apan",20,30.8,21,30.0952380952381,22,28.7727272727273,22,29.1363636363636,22,29.3636363636364,20,28.65,22,29.3181818181818,22,28.8636363636364,21,29.7619047619048,22,29.2727272727273,21,29.047619047619,21,29,22,28.2727272727273,22,28.1818181818182,21,28.7142857142857,20,28.2,22,26.8636363636364,19,28.5263157894737
"022","Epazoyucan","Región Mineral de la Reforma",13,30.2307692307692,12,30.3333333333333,11,29.6363636363636,12,30.8333333333333,12,31.1666666666667,12,31.0833333333333,12,31.3333333333333,12,31.1666666666667,14,30.6428571428571,13,33.8461538461538,12,33.5833333333333,12,33.3333333333333,12,33.25,12,33.1666666666667,13,34.2307692307692,14,30.5,11,28.3636363636364,13,28
"023","Francisco I. Madero","Región Actopan",24,30.125,22,31.5909090909091,22,31.6363636363636,22,31.6363636363636,21,33,19,33,21,33,23,32,26,30.6538461538462,26,30.1153846153846,24,31.1666666666667,23,30.8695652173913,25,31.48,25,31.44,25,31.6,25,31.24,24,30.9166666666667,22,34.0454545454545
"024","Huasca de Ocampo","Región Mineral de la Reforma",11,32.5454545454545,14,31,14,31,14,31.2857142857143,14,31.4285714285714,13,31.1538461538462,13,31.4615384615385,13,31,15,30.4666666666667,14,32.2857142857143,12,33,12,33.1666666666667,12,33.0833333333333,12,32.9166666666667,12,32.9166666666667,14,32.5,14,31.7142857142857,13,33.2307692307692
